catalogue_id,product,company,salt,dosage_form,pack,reference_price,discontinued,search_text
MED0249508,Zestocef 200mg Tablet,Agrawal Drugs Pvt. Ltd.,,allopathy,,124.0,False,zestocef 200mg tablet |  | agrawal drugs pvt. ltd. | allopathy | 
MED0249509,Zemox CL 1000 mg/200 mg Injection,Zee Laboratories,,allopathy,,169.0,False,zemox cl 1000 mg/200 mg injection |  | zee laboratories | allopathy | 
MED0249510,Zoxil CV 500 mg/100 mg Injection,Medley Pharmaceuticals,,allopathy,,129.0,False,zoxil cv 500 mg/100 mg injection |  | medley pharmaceuticals | allopathy | 
MED0249511,Zwei 0.3mg Tablet MD,Gold Line,,allopathy,,72.5,False,zwei 0.3mg tablet md |  | gold line | allopathy | 
MED0249512,Z OX Tablet,Ecstasy Biotech Pvt Ltd,,allopathy,,45.87,False,z ox tablet |  | ecstasy biotech pvt ltd | allopathy | 
MED0249513,ZIZOM 200MG/5ML ORAL LIQUID,Sysmed Laboratories Pvt Ltd,,allopathy,,26.92,False,zizom 200mg/5ml oral liquid |  | sysmed laboratories pvt ltd | allopathy | 
MED0249514,Zymotrip DP Tablet,Solace Biotech Ltd,,allopathy,,89.0,False,zymotrip dp tablet |  | solace biotech ltd | allopathy | 
MED0249515,Zeftil O 50mg Syrup,Dynamed Pharmaceuticals Pvt Ltd,,allopathy,,65.0,False,zeftil o 50mg syrup |  | dynamed pharmaceuticals pvt ltd | allopathy | 
MED0249516,Zunox Syrup,SandMartin Pharmaceuticals Pvt Ltd,,allopathy,,65.0,False,zunox syrup |  | sandmartin pharmaceuticals pvt ltd | allopathy | 
MED0249517,Zgthro 100mg Tablet,Zechstein Life Sciences,,allopathy,,50.0,False,zgthro 100mg tablet |  | zechstein life sciences | allopathy | 
MED0249518,Zolydep 0.5mg Tablet,Reliance Lifecare Pvt Ltd,,allopathy,,20.0,False,zolydep 0.5mg tablet |  | reliance lifecare pvt ltd | allopathy | 
MED0249519,Zemal Dry Syrup,Zodak Healthcare,,allopathy,,156.0,False,zemal dry syrup |  | zodak healthcare | allopathy | 
MED0249520,Zenrox Oral Suspension,Biocin Genetics & Pharma,,allopathy,,35.0,False,zenrox oral suspension |  | biocin genetics & pharma | allopathy | 
MED0249521,Zutex 1gm Injection,Zodak Healthcare,,allopathy,,52.3,False,zutex 1gm injection |  | zodak healthcare | allopathy | 
MED0249522,Zolitec 30mg Tablet,Egis Healthcare,,allopathy,,39.5,False,zolitec 30mg tablet |  | egis healthcare | allopathy | 
MED0249523,Zincopan-D SR 30mg/40mg Capsule,Zechstein Life Sciences,,allopathy,,75.0,False,zincopan-d sr 30mg/40mg capsule |  | zechstein life sciences | allopathy | 
MED0249524,Zsb 500mg/500mg Injection,Alvid-Indo Corporation,,allopathy,,199.0,False,zsb 500mg/500mg injection |  | alvid-indo corporation | allopathy | 
MED0249525,Zoem 0.25mg Tablet,Ester Formulations,,allopathy,,10.0,False,zoem 0.25mg tablet |  | ester formulations | allopathy | 
MED0249526,Zeecin 250mg Tablet,True Care Biomedix,,allopathy,,129.0,False,zeecin 250mg tablet |  | true care biomedix | allopathy | 
MED0249527,Zenali 250mg Tablet,Zenlabs Ethica Ltd,,allopathy,,115.0,False,zenali 250mg tablet |  | zenlabs ethica ltd | allopathy | 
MED0249528,Zutrim 35mg Tablet SR,Zodley Pharmaceuticals Pvt Ltd,,allopathy,,70.0,False,zutrim 35mg tablet sr |  | zodley pharmaceuticals pvt ltd | allopathy | 
MED0249529,Zolpisys 200mg/87mg Tablet CR,Human Biolife India Pvt Ltd,,allopathy,,75.0,False,zolpisys 200mg/87mg tablet cr |  | human biolife india pvt ltd | allopathy | 
MED0249530,Zumy 100mg/2mg Tablet,Biocin Healthcare,,allopathy,,27.0,False,zumy 100mg/2mg tablet |  | biocin healthcare | allopathy | 
MED0249531,Zovenac 1.16% Gel,East West Pharma,,allopathy,,68.0,False,zovenac 1.16% gel |  | east west pharma | allopathy | 
MED0249532,Zimesure 1000mg Injection,Gentech Healthcare Pvt Ltd,,allopathy,,290.0,False,zimesure 1000mg injection |  | gentech healthcare pvt ltd | allopathy | 
MED0249533,Zevodil 250mg Tablet,Alwin Wilcare Pharmaceuticals,,allopathy,,45.0,False,zevodil 250mg tablet |  | alwin wilcare pharmaceuticals | allopathy | 
